"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2010. 10",209.5,331.0,165.1,509.2,660.1,428.3,847.9,482.8,488.4,208.6,164.3,269.6,131.0,209.7,184.9,-,300.4,116.7,141.6,150.7,142.8,117.3,116.7,191.5,151.2
"2010. 11",225.3,359.4,171.7,543.6,666.9,438.0,884.3,489.4,508.9,223.6,168.1,273.1,133.5,220.7,188.4,-,313.8,118.0,145.5,158.4,141.9,117.8,119.1,200.0,163.5
"2010. 12",230.7,367.6,175.0,542.9,648.0,448.2,897.7,494.9,506.1,231.9,171.9,276.8,136.6,227.1,196.8,-,320.1,128.0,148.5,159.5,141.7,125.1,122.8,204.4,158.5
"2011. 01",241.4,359.6,180.2,525.4,661.2,453.5,840.1,503.5,506.2,237.7,178.4,275.4,141.7,229.5,196.8,-,318.6,138.9,161.2,169.2,155.3,123.3,125.2,214.2,161.1
"2011. 02",231.9,347.1,175.1,503.6,729.9,452.5,803.0,483.5,495.7,236.4,180.2,275.8,146.3,230.7,190.8,-,311.8,125.6,150.6,159.4,150.6,124.4,123.3,211.8,145.6
"2011. 03",220.3,332.8,174.6,495.1,661.2,449.4,770.5,480.8,487.0,237.2,178.6,269.8,153.1,232.2,182.5,-,300.5,119.4,150.9,161.0,147.2,121.5,122.2,216.8,166.9
"2011. 04",216.7,326.8,176.3,494.3,684.0,442.0,807.9,456.6,488.9,243.6,183.2,265.6,155.7,227.1,192.1,-,296.0,123.7,154.3,158.4,147.1,122.7,120.1,217.5,179.9
"2011. 05",223.6,329.5,181.0,497.4,659.2,438.0,826.4,473.2,488.3,248.4,186.8,267.0,162.0,246.6,199.1,-,299.7,129.4,163.6,163.0,154.6,119.7,121.1,209.7,171.9
"2011. 06",224.4,331.6,183.0,491.8,634.9,435.8,823.9,458.9,483.9,250.7,189.4,262.5,165.8,240.7,206.1,-,300.7,127.1,165.3,165.5,150.6,129.0,127.2,213.0,176.6
"2011. 07",233.2,340.4,183.8,513.5,656.8,434.7,903.4,500.7,494.5,254.9,195.7,263.4,163.0,235.5,211.7,-,306.2,136.5,166.7,170.6,156.1,131.7,130.1,217.6,170.1
"2011. 08",236.1,335.6,184.6,489.9,662.3,434.3,808.3,492.0,481.6,257.8,197.3,265.8,164.7,228.3,208.9,-,304.1,141.3,170.7,168.3,161.8,132.5,126.3,225.6,191.0
